"athlete_id","local_date","gmt_offset","wellness_resting_heart_rate","act_type","act_daily_suffer_score","act_pmc_atl","act_pmc_ctl","act_pmc_tsb","act_max_heartrate","act_duration","act_power","act_distance","act_altitude","act_heart_rate","act_velocity","act_correction_factor","act_gap","nutr_daily_calories","nutr_daily_carbohydrates","nutr_daily_protein","nutr_daily_fat","nutr_daily_fiber","nutr_daily_sugar","body_mass_index","oura_sleep_rmssd_7d_ema","oura_sleep_rmssd_42d_ema","oura_sleep_rmssd","oura_sleep_baseline"
1,"2023-01-12",11,46,"Run",52,52.21,57.68,5.47,155,4471,308,11180.7,1570.7998666017356,130.31110126301795,2.477302901821577,1.210545655041083,2.920725676787736,NULL,NULL,NULL,NULL,NULL,NULL,22.1,57.57,54.53,NULL,NULL
1,"2023-01-11",11,42,"Run",55,52.24,57.81,5.57,150,3453,352,11581.4,17.46193922763278,136.69522431259045,3.3513036185155816,1.035770072336471,3.4530613105879144,2316,230,75,115,23,98,22.1,67.16,55.86,67,52.47077646318233
1,"2023-01-10",11,41,"Run",40,51.78,57.88,6.1,145,3585,347,12160,17.885830186263107,133.09978366684695,3.2874916173278956,1.042873909779707,3.3940146132714424,3119,327,130,141,33,101,22.1,67.19,55.59,71,52.469026099575636
1,"2023-01-09",11,43,"Swim",13,53.75,58.32,4.57,133,3368,NULL,2550,NULL,105.260017809439,0.7569830821366507,1,0.7569830821366507,3211,295,142,165,18,131,22,66.56,55.21,69,52.46727573596893
1,"2023-01-08",11,43,"Swim",7,60.54,59.42,-1.12,129,1143,NULL,706.5,1.6813973939054399,115.09519650655022,0.6163580783069394,1.0040133519416066,0.618774665050457,2815,255,119,130,12,98,22,66.15,54.88,70,52.46552537236224
1,"2023-01-08",11,43,"Ride",73,60.54,59.42,-1.12,152,6838,NULL,44222.6,11.842993619818872,129.6653155761436,6.400730747079684,1.0038299817959448,6.4098088901923775,2815,255,119,130,12,98,22,66.15,54.88,70,52.46552537236224
1,"2023-01-07",11,39,"Ride",135,67.03,60.36,-6.67,162,7466,163,61150.4,18.43980726637349,137.63970300898788,7.965369806387599,1.007924785469485,7.989952057518331,2058,226,91,84,26,104,21.9,64.76,54.13,83,52.46377500875553
1,"2023-01-07",11,39,"Swim",12,67.03,60.36,-6.67,136,1212,NULL,727.7,1.496128504810459,121.08649093904448,0.5990148265117279,1.0036656408125813,0.60060017127093,2058,226,91,84,26,104,21.9,64.76,54.13,83,52.46377500875553
1,"2023-01-06",11,44,"Ride",28,62.99,59.68,-3.31,141,5266,NULL,32081.4,16.85816346290336,119.05086964653077,5.9998238273038975,1.0102970763297205,6.023659671332468,1836,157,70,98,10,83,22.1,58.17,52.71,65,52.46202464514884
1,"2023-01-05",11,43,"Run",58,68.82,60.45,-8.37,153,3357,357,11981.8,17.749632265540424,138.53045013239188,3.5250838478765756,1.0209575816840042,3.593676884868063,1262,133,63,55,11,27,22.3,57.04,52.41,61,52.46027428154214
1,"2023-01-04",11,43,"Run",76,70.62,60.51,-10.11,154,3823,373,13609.1,6.881787297244106,140.5892343872485,3.5560676775559266,1.0201413505483312,3.6206079521077816,2469,197,83,139,16,86,22.1,56.38,52.2,79,52.45852391793544
1,"2023-01-03",11,44,"Run",38,69.73,60.13,-9.6,148,3365,361,11679.3,16.903492072134306,133.6966810966811,3.3699746031031914,1.0151469247264253,3.4128503615193395,2075,227,77,89,12,85,22.2,52.61,51.54,68,52.45677355432874
1,"2023-01-02",11,45,"Ride",89,75.01,60.67,-14.34,166,6281,150,47193.6,21.523420193839286,133.1978467779685,7.363663439247471,1.0096922906602952,7.390450082345101,3082,252,115,169,20,101,22.1,50.04,51.14,52,52.45502319072204
1,"2023-01-01",11,45,"Ride",158,72.68,59.98,-12.7,166,9031,155,71872,15.980320122895327,137.73906971747772,7.720044901885952,1.013017360882437,7.742356583623263,2636,220,102,144,24,75,22.1,49.72,51.12,41,52.45327282711534
1,"2022-12-31",11,44,NULL,0,58.47,57.59,-0.88,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2465,165,76,115,15,62,22.1,51.17,51.37,62,52.45152246350864
1,"2022-12-30",11,46,"Run",88,68.21,59.0,-9.21,163,3508,349,11626.5,18.970037027357378,146.13358017658786,3.3113004839490374,1.0097572651600815,3.336775216135204,2079,161,89,109,25,86,21.8,49.36,51.11,49,52.44977209990194
1,"2022-12-29",11,45,"Run",62,64.91,58.29,-6.62,151,3739,353,12273.3,17.027899524733577,137.56841261357562,3.2769831655241393,1.0377762658233496,3.3516480666979933,2090,153,84,133,14,51,22,49.42,51.16,59,52.44802173629524
1,"2022-12-28",11,46,"VirtualRide",131,65.4,58.2,-7.2,154,7544,173,70302.7,15.506986618800582,137.71814927747582,9.320437892736088,1.0111970208689551,9.39390354698437,2984,276,127,156,12,88,22.1,47.83,50.97,49,52.44627137268854
1,"2022-12-27",11,48,"Run",83,54.47,56.42,1.95,164,2728,332,9049,22.24231330384971,151.27232796486092,3.311099560879509,1.0662860553588114,3.4286446791954837,2387,232,71,146,12,121,22.2,47.63,51.02,25,52.44452100908184
